"T1_1H_R1";"T1_2H_R1";"T1_3H_R1";"T1_4H_R1";"T1_5H_R1";"T1_6H_R1";"T2_1H_R1";"T2_2H_R1";"T2_3H_R1";"T2_4H_R1";"T2_5H_R1";"T2_6H_R1";"T3_1H_R1";"T3_2H_R1";"T3_3H_R1";"T3_4H_R1";"T3_5H_R1";"T3_6H_R1";"T1_1H_R2";"T1_2H_R2";"T1_3H_R2";"T1_4H_R2";"T1_5H_R2";"T1_6H_R2";"T2_1H_R2";"T2_2H_R2";"T2_3H_R2";"T2_4H_R2";"T2_5H_R2";"T2_6H_R2";"T3_1H_R2";"T3_2H_R2";"T3_3H_R2";"T3_4H_R2";"T3_5H_R2";"T3_6H_R2";"ExpT1";"ExpT2";"ExpT3"
"G131";0.0130337;0.1423897;0.03863596;0.4297464;-0.1391381;-0.2902204;0.342815;1.378744;2.207405;2.309233;2.228787;2.73822;0.4787967;1.508559;2.056822;2.4091;2.315725;2.469085;0.04762942;-0.08733907;0.3457976;-0.3251825;-0.4299005;-0.7914179;0.3664086;1.596777;1.892489;2.182336;2.260034;2.451877;0.3482317;1.67819;2.122098;2.29504;2.284258;2.473266;"Non";"Sur";"Sur"
"G139";2.192478;0.577273;0.2774535;0.3537325;0.5476132;0.3923987;-0.4764945;-0.1050152;1.175825;0.5653969;2.116255;2.471302;1.727765;0.7733236;0.5782357;0.6140411;0.5175588;1.867832;1.590844;0.7679469;1.462172;1.33127;1.16371;1.04985;-0.203922;0.7020562;1.133076;3.337166;3.174612;3.493718;1.873005;0.7207523;0.7307418;1.109052;1.681207;2.17057;"Non";"Sur";"Sur"
"G150";0.07709907;0.1116457;-0.3013911;0.5206489;-0.202808;-0.7202961;0.4060905;1.630825;2.665475;2.869371;2.577957;3.051412;0.5888639;1.868903;2.276099;3.055592;2.950062;2.601143;0.1157284;-0.1470775;0.5220215;-0.4775402;-0.6854432;-0.9205898;0.3003963;1.758391;2.301005;2.379864;2.673218;2.779078;0.6042645;1.735613;2.374204;2.838319;2.688837;2.444664;"Non";"Sur";"Sur"
"G152";0.004785776;-0.01462923;-0.1141257;0.3592864;-0.1998546;-0.2645347;0.6494682;2.123032;2.994151;3.296975;2.95537;3.351843;0.7174287;2.409829;3.004985;3.286704;3.321939;3.295105;0.173818;-0.04884984;0.1662963;-0.2480501;-0.3064915;-0.7940571;0.8077197;2.576975;2.923983;3.170712;3.377683;3.295407;0.7687642;2.559166;3.046486;3.136299;3.350745;3.295686;"Non";"Sur";"Sur"
"G153";0.06559505;0.2471824;0.1880609;0.405391;-0.08128125;-0.2803127;0.4015994;1.404203;2.273662;2.430457;2.36585;2.728623;0.5722097;1.564881;2.212193;2.37884;2.55993;2.552477;0.0895992;-0.3528165;0.325407;-0.4419288;-0.3844155;-0.859565;0.5811152;1.663742;2.019152;2.247088;2.555094;2.518822;0.4920667;1.791346;2.24926;2.409618;2.48552;2.535786;"Non";"Sur";"Sur"
"G154";-0.04148083;0.1677047;0.05629293;0.3098528;-0.2444304;-0.4984774;0.4510067;1.595457;2.371749;2.51088;2.285468;2.740897;0.5776578;1.75573;2.311241;2.590652;2.516899;2.56359;0.07272663;-0.22138;0.3313227;-0.4552483;-0.7293305;-0.7215136;0.443747;1.854636;2.185996;2.382781;2.444634;2.676036;0.4077539;1.837645;2.304948;2.465321;2.392794;2.596213;"Non";"Sur";"Sur"
"G156";0.03699491;0.2957819;-0.4718874;0.08510342;-0.6126349;-0.740008;0.2917251;1.923149;1.096252;1.715498;2.545909;2.518555;0.166129;2.3467;1.412832;2.053697;2.584884;2.582329;-0.8476949;-0.1223037;0.6637647;-0.291655;-0.8120113;-0.4514729;0.6477782;1.544757;1.378772;1.461616;2.134465;2.302565;-0.1459446;1.91338;2.062711;2.075878;2.871417;2.534041;"Non";"Sur";"Sur"
"G159";0.09965714;0.09752993;-0.1435146;0.4777589;-0.09504293;-0.3204593;0.2762501;1.09825;2.093223;2.342021;2.196323;2.549748;0.5180346;1.298055;1.768997;2.271291;2.571082;2.273248;0.07101463;-0.04979832;0.4049443;-0.4221802;-0.2794967;-0.8507344;0.3171699;1.415372;1.797165;2.123752;2.556397;2.417353;0.2612966;1.490027;1.93344;2.399471;2.510013;2.324898;"Non";"Sur";"Sur"
"G171";-0.1751582;-0.2794553;-0.8870466;-0.4870349;-0.5453621;-0.397012;-0.4878504;-0.3817733;-1.459718;-2.014267;-2.257187;-2.353328;-0.3223912;-0.666069;-1.320805;-2.615441;-2.076946;-2.026817;-0.1253272;-0.0967786;-0.2994872;-1.08218;-1.675498;-1.089149;-0.2669276;-0.4836127;-1.575723;-2.587686;-2.711881;-2.839216;-0.5458653;-0.3182833;-1.510451;-1.970158;-2.806408;-2.864734;"Non";"Sous";"Sous"
"G172";-0.5097579;0.1364554;-1.187404;-2.193762;-2.428594;-2.177865;-0.5692262;-1.216847;-1.763955;-2.525093;-2.62104;-1.143797;-1.024438;-0.3101243;-1.62989;-2.645094;-2.712347;-1.602654;-0.9664076;0.733995;0.403951;-0.3207931;0.2365961;-0.9305296;-0.4931625;0.5342356;-0.4414885;-1.503484;-1.549396;-2.750326;-1.614822;0.4065945;-1.12499;-2.192796;-2.111289;-3.052619;"Sous";"Sous";"Sous"
"G175";0.317827;-1.449906;-0.0412399;-0.3634038;-0.8482583;-0.3799363;0.1843168;-0.2203698;1.249778;-0.1719817;-0.8892713;-2.512832;0.02560099;-0.7282255;-0.06359787;-0.08235165;-0.6731497;-1.987103;1.246185;-0.08009921;-0.6544206;1.000233;-0.9895198;-0.9538078;-0.05200522;1.203808;0.768914;0.6068939;-0.5240628;-2.233544;0.1261009;0.5003638;0.2366206;0.4630569;-1.163392;-1.647592;"Non";"Sous";"Sous"
"G176";0.4022241;0.05991314;0.259487;0.06886066;-0.6048891;-0.03569891;0.243719;0.6965211;2.053236;1.645002;1.930828;2.360263;-0.02793993;0.9544636;1.5758;1.790893;2.166769;2.205681;-0.3669878;0.5224857;0.7847245;-0.726694;-0.4445573;-0.9773329;0.3716374;0.9475399;1.637129;0.8473366;1.475715;2.304901;-0.2377896;0.614767;1.53821;1.412242;2.037977;2.155621;"Non";"Sur";"Sur"
"G179";0.07674751;0.04557441;-0.2358652;-0.2438577;-0.6116967;-0.3996971;0.2086218;0.1240256;-0.1808859;-0.1364823;1.588739;2.542722;-0.05084903;0.1509519;-0.06635378;0.4954504;1.525308;2.130867;-0.3444515;-0.09873922;0.2417544;-0.09165941;-0.5363743;-0.7185992;-0.2355129;-0.2917448;0.1601898;0.2955159;1.500656;2.355302;-0.5583371;-0.1644872;-0.04749591;0.5004241;2.032123;2.046818;"Non";"Sur";"Sur"
"G181";-0.03505127;0.1258053;-0.1655124;0.5811701;-0.2611141;-0.6028271;0.3830291;1.277527;2.105226;2.385813;2.161905;2.354639;0.3851793;1.558096;1.948598;2.411717;2.404874;2.189525;0.06550535;-0.05271676;0.4079169;-0.3024246;-0.4177736;-1.033763;0.2470669;1.4666;1.936669;2.077508;2.260196;2.361042;0.405737;1.607828;2.016307;2.367139;2.245479;2.146393;"Non";"Sur";"Sur"
"G182";2.899491;5.04213;4.773785;4.383393;3.312692;1.619228;0.8871035;2.231462;3.314952;3.325648;3.278325;3.17773;3.581977;5.738364;5.327226;5.183884;4.31768;3.250476;2.48886;5.003221;5.279812;3.956812;2.467088;0.9780381;1.148485;2.806573;3.147122;2.75593;2.317305;3.632131;3.79295;5.666183;5.686148;4.282038;3.330158;3.745273;"Sur";"Sur";"Sur"
"G183";0.06644004;0.1662557;-0.07356759;0.2771247;0.01130414;-0.4551708;0.1449549;1.310358;2.029196;2.296163;2.70342;2.416028;0.2995835;1.318852;1.901511;3.03378;2.888137;2.365272;-0.06812861;-0.2905658;0.4433067;-0.6103918;-0.5487535;-0.897362;0.3352847;1.149302;1.390563;1.994701;2.321725;1.926039;0.5133878;1.412425;1.847916;2.742206;3.027951;2.050478;"Non";"Sur";"Sur"
"G190";-3.584361;-4.172482;0.6678989;-0.6773671;-5.510584;-2.452579;-4.304015;-4.307718;-5.921375;-4.351792;-5.801663;-5.414279;-2.956087;-4.153892;-3.123132;-4.459091;-6.909641;-3.005106;0.5126853;1.932212;-0.7702826;2.333511;0.7535487;0.4956129;0.5387648;-2.23427;-0.3697081;-1.209621;-3.022369;-4.541847;1.741505;0.3082114;-1.011631;-1.965241;-3.892907;-4.036939;"Non";"Sous";"Sous"
"G192";-0.0634163;-0.705826;-0.1285724;0.05578113;0.5734584;-0.5742508;0.6259919;1.614406;2.530113;4.250247;4.57824;3.301983;0.08268612;1.681212;3.141959;4.58997;4.85743;3.315126;-0.08216306;-0.8395254;0.1321673;-0.2324873;-0.4605931;-1.572624;0.7171322;1.95842;1.94079;4.200495;4.502519;2.013608;0.01513286;2.834435;2.831489;4.196021;5.003545;2.420471;"Sous";"Sur";"Sur"
"G193";-0.4354807;-1.653451;0.4254768;-0.787072;-2.093288;0.8475562;-1.015941;-1.327398;0.08216269;1.259345;0.4512359;1.797619;-1.146363;-1.424364;0.4611871;1.119254;0.8214663;2.10663;0.1148002;0.4405107;0.8093255;1.943248;-0.2491138;2.329509;-0.7504989;-0.4350322;-0.1812188;2.113745;1.659956;2.513711;-0.7407973;0.2364243;0.5401944;1.953019;1.048274;2.08896;"Sur";"Sur";"Sur"
"G195";-0.2176149;0.8133992;-0.2672652;-1.989667;-1.137142;-1.136741;-0.456663;-0.3324929;-1.972819;-3.884659;-4.01633;-4.488339;0.09682176;0.05135559;-1.630126;-2.838173;-4.569772;-3.559743;-1.358997;0.5699652;-0.1455651;0.302591;0.2403637;0.05076948;-0.6769535;0.05991452;-0.6644917;-3.347761;-2.352367;-4.559751;-1.490828;-0.2710103;-1.18253;-4.145464;-3.638909;-5.439468;"Non";"Sous";"Sous"
"G201";-0.3972727;0.5335512;1.326198;0.944652;0.7020105;0.346777;-0.8908065;-1.349077;-3.785609;-3.585384;-2.841346;-3.270048;-0.929382;-1.923011;-1.442871;-4.550186;-2.865496;-2.171027;-0.5742585;0.9368797;1.120901;0.5281583;0.4226949;0.7880362;-0.753009;-2.687553;-3.133498;-5.456215;-5.204257;-4.047561;-0.8859824;-2.854244;-3.597067;-3.855507;-4.967474;-3.553463;"Non";"Sous";"Sous"
